zone,year,season,day,t,value
South_Africa,2025,Q1,d1,t1,701.743
South_Africa,2025,Q1,d1,t2,701.743
South_Africa,2025,Q1,d1,t3,701.743
South_Africa,2025,Q1,d1,t4,701.743
South_Africa,2025,Q1,d1,t5,701.743
South_Africa,2025,Q1,d1,t6,701.743
South_Africa,2025,Q1,d1,t7,701.743
South_Africa,2025,Q1,d1,t8,701.743
South_Africa,2025,Q1,d1,t9,701.743
South_Africa,2025,Q1,d1,t10,701.743
South_Africa,2025,Q1,d1,t11,701.743
South_Africa,2025,Q1,d1,t12,701.743
South_Africa,2025,Q1,d1,t13,701.743
South_Africa,2025,Q1,d1,t14,701.743
South_Africa,2025,Q1,d1,t15,701.743
South_Africa,2025,Q1,d1,t16,701.743
South_Africa,2025,Q1,d1,t17,701.743
South_Africa,2025,Q1,d1,t18,701.743
South_Africa,2025,Q1,d1,t19,701.743
South_Africa,2025,Q1,d1,t20,701.743
South_Africa,2025,Q1,d1,t21,701.743
South_Africa,2025,Q1,d1,t22,701.743
South_Africa,2025,Q1,d1,t23,701.743
South_Africa,2025,Q1,d1,t24,701.743
South_Africa,2025,Q1,d2,t1,701.743
South_Africa,2025,Q1,d2,t2,701.743
South_Africa,2025,Q1,d2,t3,701.743
South_Africa,2025,Q1,d2,t4,701.743
South_Africa,2025,Q1,d2,t5,701.743
South_Africa,2025,Q1,d2,t6,701.743
South_Africa,2025,Q1,d2,t7,701.743
South_Africa,2025,Q1,d2,t8,701.743
South_Africa,2025,Q1,d2,t9,701.743
South_Africa,2025,Q1,d2,t10,701.743
South_Africa,2025,Q1,d2,t11,701.743
South_Africa,2025,Q1,d2,t12,701.743
South_Africa,2025,Q1,d2,t13,701.743
South_Africa,2025,Q1,d2,t14,701.743
South_Africa,2025,Q1,d2,t15,701.743
South_Africa,2025,Q1,d2,t16,701.743
South_Africa,2025,Q1,d2,t17,701.743
South_Africa,2025,Q1,d2,t18,701.743
South_Africa,2025,Q1,d2,t19,701.743
South_Africa,2025,Q1,d2,t20,701.743
South_Africa,2025,Q1,d2,t21,701.743
South_Africa,2025,Q1,d2,t22,701.743
South_Africa,2025,Q1,d2,t23,701.743
South_Africa,2025,Q1,d2,t24,701.743
South_Africa,2025,Q1,d3,t1,696.478
South_Africa,2025,Q1,d3,t2,696.478
South_Africa,2025,Q1,d3,t3,696.478
South_Africa,2025,Q1,d3,t4,696.478
South_Africa,2025,Q1,d3,t5,696.478
South_Africa,2025,Q1,d3,t6,696.478
South_Africa,2025,Q1,d3,t7,696.478
South_Africa,2025,Q1,d3,t8,696.478
South_Africa,2025,Q1,d3,t9,696.478
South_Africa,2025,Q1,d3,t10,696.478
South_Africa,2025,Q1,d3,t11,696.478
South_Africa,2025,Q1,d3,t12,696.478
South_Africa,2025,Q1,d3,t13,696.478
South_Africa,2025,Q1,d3,t14,696.478
South_Africa,2025,Q1,d3,t15,696.478
South_Africa,2025,Q1,d3,t16,696.478
South_Africa,2025,Q1,d3,t17,696.478
South_Africa,2025,Q1,d3,t18,696.478
South_Africa,2025,Q1,d3,t19,696.478
South_Africa,2025,Q1,d3,t20,696.478
South_Africa,2025,Q1,d3,t21,696.478
South_Africa,2025,Q1,d3,t22,696.478
South_Africa,2025,Q1,d3,t23,696.478
South_Africa,2025,Q1,d3,t24,696.478
South_Africa,2025,Q1,d4,t1,701.743
South_Africa,2025,Q1,d4,t2,701.743
South_Africa,2025,Q1,d4,t3,701.743
South_Africa,2025,Q1,d4,t4,701.743
South_Africa,2025,Q1,d4,t5,701.743
South_Africa,2025,Q1,d4,t6,701.743
South_Africa,2025,Q1,d4,t7,701.743
South_Africa,2025,Q1,d4,t8,701.743
South_Africa,2025,Q1,d4,t9,701.743
South_Africa,2025,Q1,d4,t10,701.743
South_Africa,2025,Q1,d4,t11,701.743
South_Africa,2025,Q1,d4,t12,701.743
South_Africa,2025,Q1,d4,t13,701.743
South_Africa,2025,Q1,d4,t14,701.743
South_Africa,2025,Q1,d4,t15,701.743
South_Africa,2025,Q1,d4,t16,701.743
South_Africa,2025,Q1,d4,t17,701.743
South_Africa,2025,Q1,d4,t18,701.743
South_Africa,2025,Q1,d4,t19,701.743
South_Africa,2025,Q1,d4,t20,701.743
South_Africa,2025,Q1,d4,t21,701.743
South_Africa,2025,Q1,d4,t22,701.743
South_Africa,2025,Q1,d4,t23,701.743
South_Africa,2025,Q1,d4,t24,701.743
South_Africa,2025,Q2,d1,t1,740.024
South_Africa,2025,Q2,d1,t2,740.024
South_Africa,2025,Q2,d1,t3,740.024
South_Africa,2025,Q2,d1,t4,740.024
South_Africa,2025,Q2,d1,t5,740.024
South_Africa,2025,Q2,d1,t6,740.024
South_Africa,2025,Q2,d1,t7,740.024
South_Africa,2025,Q2,d1,t8,740.024
South_Africa,2025,Q2,d1,t9,740.024
South_Africa,2025,Q2,d1,t10,740.024
South_Africa,2025,Q2,d1,t11,740.024
South_Africa,2025,Q2,d1,t12,740.024
South_Africa,2025,Q2,d1,t13,740.024
South_Africa,2025,Q2,d1,t14,740.024
South_Africa,2025,Q2,d1,t15,740.024
South_Africa,2025,Q2,d1,t16,740.024
South_Africa,2025,Q2,d1,t17,740.024
South_Africa,2025,Q2,d1,t18,740.024
South_Africa,2025,Q2,d1,t19,740.024
South_Africa,2025,Q2,d1,t20,740.024
South_Africa,2025,Q2,d1,t21,740.024
South_Africa,2025,Q2,d1,t22,740.024
South_Africa,2025,Q2,d1,t23,740.024
South_Africa,2025,Q2,d1,t24,740.024
South_Africa,2025,Q2,d2,t1,740.024
South_Africa,2025,Q2,d2,t2,740.024
South_Africa,2025,Q2,d2,t3,740.024
South_Africa,2025,Q2,d2,t4,740.024
South_Africa,2025,Q2,d2,t5,740.024
South_Africa,2025,Q2,d2,t6,740.024
South_Africa,2025,Q2,d2,t7,740.024
South_Africa,2025,Q2,d2,t8,740.024
South_Africa,2025,Q2,d2,t9,740.024
South_Africa,2025,Q2,d2,t10,740.024
South_Africa,2025,Q2,d2,t11,740.024
South_Africa,2025,Q2,d2,t12,740.024
South_Africa,2025,Q2,d2,t13,740.024
South_Africa,2025,Q2,d2,t14,740.024
South_Africa,2025,Q2,d2,t15,740.024
South_Africa,2025,Q2,d2,t16,740.024
South_Africa,2025,Q2,d2,t17,740.024
South_Africa,2025,Q2,d2,t18,740.024
South_Africa,2025,Q2,d2,t19,740.024
South_Africa,2025,Q2,d2,t20,740.024
South_Africa,2025,Q2,d2,t21,740.024
South_Africa,2025,Q2,d2,t22,740.024
South_Africa,2025,Q2,d2,t23,740.024
South_Africa,2025,Q2,d2,t24,740.024
South_Africa,2025,Q2,d3,t1,699.111
South_Africa,2025,Q2,d3,t2,699.111
South_Africa,2025,Q2,d3,t3,699.111
South_Africa,2025,Q2,d3,t4,699.111
South_Africa,2025,Q2,d3,t5,699.111
South_Africa,2025,Q2,d3,t6,699.111
South_Africa,2025,Q2,d3,t7,699.111
South_Africa,2025,Q2,d3,t8,699.111
South_Africa,2025,Q2,d3,t9,699.111
South_Africa,2025,Q2,d3,t10,699.111
South_Africa,2025,Q2,d3,t11,699.111
South_Africa,2025,Q2,d3,t12,699.111
South_Africa,2025,Q2,d3,t13,699.111
South_Africa,2025,Q2,d3,t14,699.111
South_Africa,2025,Q2,d3,t15,699.111
South_Africa,2025,Q2,d3,t16,699.111
South_Africa,2025,Q2,d3,t17,699.111
South_Africa,2025,Q2,d3,t18,699.111
South_Africa,2025,Q2,d3,t19,699.111
South_Africa,2025,Q2,d3,t20,699.111
South_Africa,2025,Q2,d3,t21,699.111
South_Africa,2025,Q2,d3,t22,699.111
South_Africa,2025,Q2,d3,t23,699.111
South_Africa,2025,Q2,d3,t24,699.111
South_Africa,2025,Q2,d4,t1,740.024
South_Africa,2025,Q2,d4,t2,740.024
South_Africa,2025,Q2,d4,t3,740.024
South_Africa,2025,Q2,d4,t4,740.024
South_Africa,2025,Q2,d4,t5,740.024
South_Africa,2025,Q2,d4,t6,740.024
South_Africa,2025,Q2,d4,t7,740.024
South_Africa,2025,Q2,d4,t8,740.024
South_Africa,2025,Q2,d4,t9,740.024
South_Africa,2025,Q2,d4,t10,740.024
South_Africa,2025,Q2,d4,t11,740.024
South_Africa,2025,Q2,d4,t12,740.024
South_Africa,2025,Q2,d4,t13,740.024
South_Africa,2025,Q2,d4,t14,740.024
South_Africa,2025,Q2,d4,t15,740.024
South_Africa,2025,Q2,d4,t16,740.024
South_Africa,2025,Q2,d4,t17,740.024
South_Africa,2025,Q2,d4,t18,740.024
South_Africa,2025,Q2,d4,t19,740.024
South_Africa,2025,Q2,d4,t20,740.024
South_Africa,2025,Q2,d4,t21,740.024
South_Africa,2025,Q2,d4,t22,740.024
South_Africa,2025,Q2,d4,t23,740.024
South_Africa,2025,Q2,d4,t24,740.024
South_Africa,2025,Q3,d1,t1,740.024
South_Africa,2025,Q3,d1,t2,740.024
South_Africa,2025,Q3,d1,t3,740.024
South_Africa,2025,Q3,d1,t4,740.024
South_Africa,2025,Q3,d1,t5,740.024
South_Africa,2025,Q3,d1,t6,740.024
South_Africa,2025,Q3,d1,t7,740.024
South_Africa,2025,Q3,d1,t8,740.024
South_Africa,2025,Q3,d1,t9,740.024
South_Africa,2025,Q3,d1,t10,740.024
South_Africa,2025,Q3,d1,t11,740.024
South_Africa,2025,Q3,d1,t12,740.024
South_Africa,2025,Q3,d1,t13,740.024
South_Africa,2025,Q3,d1,t14,740.024
South_Africa,2025,Q3,d1,t15,740.024
South_Africa,2025,Q3,d1,t16,740.024
South_Africa,2025,Q3,d1,t17,740.024
South_Africa,2025,Q3,d1,t18,740.024
South_Africa,2025,Q3,d1,t19,740.024
South_Africa,2025,Q3,d1,t20,740.024
South_Africa,2025,Q3,d1,t21,740.024
South_Africa,2025,Q3,d1,t22,740.024
South_Africa,2025,Q3,d1,t23,740.024
South_Africa,2025,Q3,d1,t24,740.024
South_Africa,2025,Q3,d2,t1,740.024
South_Africa,2025,Q3,d2,t2,740.024
South_Africa,2025,Q3,d2,t3,740.024
South_Africa,2025,Q3,d2,t4,740.024
South_Africa,2025,Q3,d2,t5,740.024
South_Africa,2025,Q3,d2,t6,740.024
South_Africa,2025,Q3,d2,t7,740.024
South_Africa,2025,Q3,d2,t8,740.024
South_Africa,2025,Q3,d2,t9,740.024
South_Africa,2025,Q3,d2,t10,740.024
South_Africa,2025,Q3,d2,t11,740.024
South_Africa,2025,Q3,d2,t12,740.024
South_Africa,2025,Q3,d2,t13,740.024
South_Africa,2025,Q3,d2,t14,740.024
South_Africa,2025,Q3,d2,t15,740.024
South_Africa,2025,Q3,d2,t16,740.024
South_Africa,2025,Q3,d2,t17,740.024
South_Africa,2025,Q3,d2,t18,740.024
South_Africa,2025,Q3,d2,t19,740.024
South_Africa,2025,Q3,d2,t20,740.024
South_Africa,2025,Q3,d2,t21,740.024
South_Africa,2025,Q3,d2,t22,740.024
South_Africa,2025,Q3,d2,t23,740.024
South_Africa,2025,Q3,d2,t24,740.024
South_Africa,2025,Q3,d3,t1,740.024
South_Africa,2025,Q3,d3,t2,740.024
South_Africa,2025,Q3,d3,t3,740.024
South_Africa,2025,Q3,d3,t4,740.024
South_Africa,2025,Q3,d3,t5,740.024
South_Africa,2025,Q3,d3,t6,740.024
South_Africa,2025,Q3,d3,t7,740.024
South_Africa,2025,Q3,d3,t8,740.024
South_Africa,2025,Q3,d3,t9,740.024
South_Africa,2025,Q3,d3,t10,740.024
South_Africa,2025,Q3,d3,t11,740.024
South_Africa,2025,Q3,d3,t12,740.024
South_Africa,2025,Q3,d3,t13,740.024
South_Africa,2025,Q3,d3,t14,740.024
South_Africa,2025,Q3,d3,t15,740.024
South_Africa,2025,Q3,d3,t16,740.024
South_Africa,2025,Q3,d3,t17,740.024
South_Africa,2025,Q3,d3,t18,740.024
South_Africa,2025,Q3,d3,t19,740.024
South_Africa,2025,Q3,d3,t20,740.024
South_Africa,2025,Q3,d3,t21,740.024
South_Africa,2025,Q3,d3,t22,740.024
South_Africa,2025,Q3,d3,t23,740.024
South_Africa,2025,Q3,d3,t24,740.024
South_Africa,2025,Q3,d4,t1,697.298
South_Africa,2025,Q3,d4,t2,697.298
South_Africa,2025,Q3,d4,t3,697.298
South_Africa,2025,Q3,d4,t4,697.298
South_Africa,2025,Q3,d4,t5,697.298
South_Africa,2025,Q3,d4,t6,697.298
South_Africa,2025,Q3,d4,t7,697.298
South_Africa,2025,Q3,d4,t8,697.298
South_Africa,2025,Q3,d4,t9,697.298
South_Africa,2025,Q3,d4,t10,697.298
South_Africa,2025,Q3,d4,t11,697.298
South_Africa,2025,Q3,d4,t12,697.298
South_Africa,2025,Q3,d4,t13,697.298
South_Africa,2025,Q3,d4,t14,697.298
South_Africa,2025,Q3,d4,t15,697.298
South_Africa,2025,Q3,d4,t16,697.298
South_Africa,2025,Q3,d4,t17,697.298
South_Africa,2025,Q3,d4,t18,697.298
South_Africa,2025,Q3,d4,t19,697.298
South_Africa,2025,Q3,d4,t20,697.298
South_Africa,2025,Q3,d4,t21,697.298
South_Africa,2025,Q3,d4,t22,697.298
South_Africa,2025,Q3,d4,t23,697.298
South_Africa,2025,Q3,d4,t24,697.298
South_Africa,2025,Q4,d1,t1,701.743
South_Africa,2025,Q4,d1,t2,701.743
South_Africa,2025,Q4,d1,t3,701.743
South_Africa,2025,Q4,d1,t4,701.743
South_Africa,2025,Q4,d1,t5,701.743
South_Africa,2025,Q4,d1,t6,701.743
South_Africa,2025,Q4,d1,t7,701.743
South_Africa,2025,Q4,d1,t8,701.743
South_Africa,2025,Q4,d1,t9,701.743
South_Africa,2025,Q4,d1,t10,701.743
South_Africa,2025,Q4,d1,t11,701.743
South_Africa,2025,Q4,d1,t12,701.743
South_Africa,2025,Q4,d1,t13,701.743
South_Africa,2025,Q4,d1,t14,701.743
South_Africa,2025,Q4,d1,t15,701.743
South_Africa,2025,Q4,d1,t16,701.743
South_Africa,2025,Q4,d1,t17,701.743
South_Africa,2025,Q4,d1,t18,701.743
South_Africa,2025,Q4,d1,t19,701.743
South_Africa,2025,Q4,d1,t20,701.743
South_Africa,2025,Q4,d1,t21,701.743
South_Africa,2025,Q4,d1,t22,701.743
South_Africa,2025,Q4,d1,t23,701.743
South_Africa,2025,Q4,d1,t24,701.743
South_Africa,2025,Q4,d2,t1,701.743
South_Africa,2025,Q4,d2,t2,701.743
South_Africa,2025,Q4,d2,t3,701.743
South_Africa,2025,Q4,d2,t4,701.743
South_Africa,2025,Q4,d2,t5,701.743
South_Africa,2025,Q4,d2,t6,701.743
South_Africa,2025,Q4,d2,t7,701.743
South_Africa,2025,Q4,d2,t8,701.743
South_Africa,2025,Q4,d2,t9,701.743
South_Africa,2025,Q4,d2,t10,701.743
South_Africa,2025,Q4,d2,t11,701.743
South_Africa,2025,Q4,d2,t12,701.743
South_Africa,2025,Q4,d2,t13,701.743
South_Africa,2025,Q4,d2,t14,701.743
South_Africa,2025,Q4,d2,t15,701.743
South_Africa,2025,Q4,d2,t16,701.743
South_Africa,2025,Q4,d2,t17,701.743
South_Africa,2025,Q4,d2,t18,701.743
South_Africa,2025,Q4,d2,t19,701.743
South_Africa,2025,Q4,d2,t20,701.743
South_Africa,2025,Q4,d2,t21,701.743
South_Africa,2025,Q4,d2,t22,701.743
South_Africa,2025,Q4,d2,t23,701.743
South_Africa,2025,Q4,d2,t24,701.743
South_Africa,2025,Q4,d3,t1,693.845
South_Africa,2025,Q4,d3,t2,693.845
South_Africa,2025,Q4,d3,t3,693.845
South_Africa,2025,Q4,d3,t4,693.845
South_Africa,2025,Q4,d3,t5,693.845
South_Africa,2025,Q4,d3,t6,693.845
South_Africa,2025,Q4,d3,t7,693.845
South_Africa,2025,Q4,d3,t8,693.845
South_Africa,2025,Q4,d3,t9,693.845
South_Africa,2025,Q4,d3,t10,693.845
South_Africa,2025,Q4,d3,t11,693.845
South_Africa,2025,Q4,d3,t12,693.845
South_Africa,2025,Q4,d3,t13,693.845
South_Africa,2025,Q4,d3,t14,693.845
South_Africa,2025,Q4,d3,t15,693.845
South_Africa,2025,Q4,d3,t16,693.845
South_Africa,2025,Q4,d3,t17,693.845
South_Africa,2025,Q4,d3,t18,693.845
South_Africa,2025,Q4,d3,t19,693.845
South_Africa,2025,Q4,d3,t20,693.845
South_Africa,2025,Q4,d3,t21,693.845
South_Africa,2025,Q4,d3,t22,693.845
South_Africa,2025,Q4,d3,t23,693.845
South_Africa,2025,Q4,d3,t24,693.845
South_Africa,2025,Q4,d4,t1,701.743
South_Africa,2025,Q4,d4,t2,701.743
South_Africa,2025,Q4,d4,t3,701.743
South_Africa,2025,Q4,d4,t4,701.743
South_Africa,2025,Q4,d4,t5,701.743
South_Africa,2025,Q4,d4,t6,701.743
South_Africa,2025,Q4,d4,t7,701.743
South_Africa,2025,Q4,d4,t8,701.743
South_Africa,2025,Q4,d4,t9,701.743
South_Africa,2025,Q4,d4,t10,701.743
South_Africa,2025,Q4,d4,t11,701.743
South_Africa,2025,Q4,d4,t12,701.743
South_Africa,2025,Q4,d4,t13,701.743
South_Africa,2025,Q4,d4,t14,701.743
South_Africa,2025,Q4,d4,t15,701.743
South_Africa,2025,Q4,d4,t16,701.743
South_Africa,2025,Q4,d4,t17,701.743
South_Africa,2025,Q4,d4,t18,701.743
South_Africa,2025,Q4,d4,t19,701.743
South_Africa,2025,Q4,d4,t20,701.743
South_Africa,2025,Q4,d4,t21,701.743
South_Africa,2025,Q4,d4,t22,701.743
South_Africa,2025,Q4,d4,t23,701.743
South_Africa,2025,Q4,d4,t24,701.743
